transaction_id,customer_id,amount,transaction_date,region
TXN-002627,CUST-00277,126.92,2025-11-08,Central 
TXN-003356,CUST-00085,1304.24,2025-05-02,West
TXN-002545,CUST-00301,1425.66,2025-11-02,East
TXN-002674,CUST-00353,373.84,2024-02-12,South
TXN-000281,CUST-00143,112.12,2025-12-30,North
TXN-004952,CUST-00387,711.79,2024-05-17,North
TXN-002140,CUST-00428,87.27,2025-07-18,West
TXN-000330,CUST-00243,236.69,2025-02-02,West
TXN-003911,CUST-00413,49.64,2025-07-19,South
TXN-003686,CUST-00078,72.25 USD,2024-07-22,Central
TXN-004693,CUST-00020,57.20,2025-12-24,South
TXN-003923,CUST-00192,675.84,2024-07-25,North
TXN-001578,CUST-00244,507.23,2025-03-08,North
TXN-000866,CUST-00133,,2025-07-05,Central
TXN-000965,CUST-00236,49.76,2024-04-19,West
TXN-001910,CUST-00048,91.82,2024-09-25,East
TXN-003430,CUST-00069,1395.25,2025-10-09,South
TXN-000197,CUST-00103,287.81,2025-12-23,West
TXN-000893,CUST-00197,20.64,2025-01-12,East
TXN-003785,CUST-00214,48.18,2024-06-06,South
TXN-000052,CUST-00076,55.72,2025-10-09,East
TXN-000482,CUST-00322,488.96,2024-11-13,Central
TXN-004342,CUST-00306,370.72,2024-01-30,Central
TXN-004415,cust-00288,213.66,2025-06-05,North
TXN-003233,CUST-00121,548.17,2025-06-28,West
TXN-004999,CUST-00469,116.69,2024-02-23,Central
TXN-004623,CUST-00413,1439.93,2025-11-25,South
TXN-003737,CUST-00043,517.66,2024-12-31,West
TXN-000014,CUST-00447,221.51,2025-02-10,Central
TXN-002252,CUST-00180,45.26,2025-07-31,CENTRAL
TXN-003317,CUST-00268,1249.04,2025-06-17,West
TXN-002214,CUST-00094,129.89,2025-07-08,Central
TXN-000210,CUST-00110,19.53,2025-11-30,South
TXN-002861,CUST-00299,34.29,2025-03-07,West
TXN-002658,CUST-00310,975.05,2025-08-21,Central
TXN-001596,CUST-00066,200.68,2024-10-03,South
TXN-002202,CUST-00290,38.80,2025-06-19,West
TXN-001680,CUST-00444,216.65,2024-11-08,West
TXN-003723,CUST-00126,246.73,2024-10-09,Central
TXN-002248,CUST-00126,41.78,2024-07-20,C
TXN-004914,CUST-00247,18.11,2024-05-28,Central
TXN-004318,CUST-00452,232.89,2024-02-04,East
TXN-003200,CUST-00347,160.25,2024-10-05,West
TXN-004775,CUST-00080,185.00,2025-02-18,East
TXN-003040,CUST-00419,62.28,2025-07-20,West
TXN-002814,CUST-00074,501.50,2025-02-20,Central
TXN-000080,CUST-00085,81.39,2025-01-25,West
TXN-000890,CUST-00288,242.00,2025-01-04,North
TXN-004668,CUST-00112,453.64,2024-04-05,East
TXN-004223,CUST-00083,144.50,2025-08-10,Central
TXN-000063,CUST-00343,832.22,2024-09-19,Central 
TXN-004968,CUST-00288,17.27,2025-07-28,North
TXN-001554,CUST-00129,29.61,2025-08-30,Central
TXN-003513,CUST-00009,276.39,2025-12-04,South
TXN-002982,CUST-00324,213.97,2025-05-28,South
TXN-004917,CUST-00120,234.29,2024-11-30,North
TXN-000162,CUST-00420,19.40,2024-04-11,North
TXN-000280,CUST-00110,171.42,2025-11-23,South
TXN-000289,CUST-00040,503.53,2024-05-11,North
TXN-002929,CUST-00094,,2024-05-02,Central
TXN-003025,CUST-00259,143.78,2025-04-11,Central
TXN-003278,CUST-00063,220.01,2025-05-29,North
TXN-001056,CUST-00324,477.23,2025-04-24,South
TXN-003320,CUST-00292,35.94,2025-02-21,south
TXN-003015,CUST-00080,517.24,2024-11-05,East
TXN-003805,CUST-00489,113.17,2024-01-20,East 
TXN-001215,CUST-00056,114.11,2024-01-06,Central
TXN-004149,CUST-00344,876.53,2024-06-04,East
TXN-002851,CUST-00043,582.32,2025-09-28,West
TXN-001553,CUST-00420,47.44,2025-02-23,North
TXN-000850,CUST-00259,21.80,2024-05-31,South
TXN-000974,CUST-00470,213.94,2025-02-28,North
TXN-002923,CUST-00481,126.23,2024-01-09,South
TXN-000582,CUST-00210,158.92,2025-03-17,North
TXN-002984,CUST-00122,24.72,2025-04-16,West
TXN-004009,CUST-00053,227.53,2025-03-27,North
TXN-004890,CUST-00127,68.34,2024-03-06,West
TXN-000268,CUST-00363,987.60,2024-10-08,West
TXN-001912,CUST-00245,238.97,16/01/2025,South
TXN-004987,CUST-00357,528.05,2025-12-01,North
TXN-003363,CUST-00481,76.48,2024-10-02,South
TXN-000117,CUST-00306,52.89,2024-01-06,Central
TXN-002284,CUST-96943,303.79,2024-01-08,West
TXN-001581,CUST-00374,43.78,2025-03-22,North
TXN-004824,CUST-00468,328.75,2024-02-27,east
TXN-002440,CUST-00444,60.83,2024-06-30,West
TXN-001869,cust-00418,496.35,2025-04-30,East
TXN-004840,CUST-00103,202.60,22/05/2025,West
TXN-003940,CUST-00006,76.83,2025-02-15,East
TXN-000464,CUST-00266,512.36,2024-05-07,Central
TXN-001621,CUST-00143,124.55,2025-01-15,North
TXN-004643,CUST-00116,116.86,2024-01-08,East
TXN-003470,CUST-00017,114.76,2025-12-28,East
TXN-002270,CUST-00118,456.04,2025-07-07,North
TXN-002437,CUST-00074,34.44,2024-03-09,Central
TXN-003528,CUST-00260,195.25,2025-12-09,East
TXN-001851,CUST-00310,115.41,2025-07-22,Central
TXN-003072,CUST-00240,535.97,2024-11-28,South
TXN-000781,CUST-00288,35.24,2024-04-30, North
TXN-002056,CUST-00061,180.06,2024-08-01,North
TXN-000736,CUST-00444,27.19,2025-10-14,West
TXN-003437,CUST-00259,328.57,2024-12-27,Central
TXN-003485,CUST-00177,243.21,2024-07-15,North
TXN-003207,CUST-00199,37.54,2024-07-04,Central
TXN-000557,CUST-00405,134.82,2024-10-08,South
TXN-003651,CUST-00051,105.84,2024-11-08,East
TXN-002575,CUST-00012,33.59,2025-06-03,South
TXN-002741,CUST-00061,188.82,2024-02-19,North
TXN-000318,CUST-00379,114.16,2025-06-02,East
TXN-000829,CUST-00424,44.32,2024-12-09,South
TXN-002121,CUST-00444,330.94,2025-09-25,West
TXN-003751,CUST-00043,18.34,2024-11-30,West
TXN-002456,CUST-00015,289.62,2024-04-06,East
TXN-004382,CUST-00054,25.34,2025-09-04,South
TXN-002206,CUST-00306,43.72,2024-08-31,Central
TXN-003442,CUST-00205,25.90,,Central
TXN-001616,CUST-00210,35.35,2024-09-29,North
TXN-002655,CUST-00159,521.10,2024-06-26, North
TXN-001913,CUST-00272,151.72,2025-09-13,East
TXN-003795,CUST-00126,109.70,2025-12-21,Central
TXN-001189, CUST-00043,179.96,2025-11-29,West
TXN-003568,CUST-00345,31.99,2025-12-11,West
TXN-004445,CUST-00444,209.72,2024-03-20,West
TXN-004711,CUST-00201,1150.65,2024-11-26,South
TXN-002585,CUST-00287,356.38,2024-12-30,West
TXN-001417,CUST-00401,555.41,2024-10-31,Central
TXN-004452,CUST-00495,250.54,2025-04-12,South
TXN-003718,CUST-00369,108.46,2024-07-12,West
TXN-000352,CUST-00060,977.42,2025-07-20,North
TXN-002638,CUST-00142,91.17,2024-11-11,Central
TXN-003446,CUST-00471,85.20,2025-05-09,Central
TXN-000900,CUST-90364,52.77,2024-09-04,East
TXN-001465,CUST-00158,851.01,2025-09-04,North
TXN-000971,CUST-00379,243.13,2024-11-04,East 
TXN-001585,CUST-00444,34.31,2025-07-11,West
TXN-000707,CUST-00085,459.42,2024-03-23,West
TXN-001446,CUST-00102,16.12,2024-02-03,East
TXN-000933,CUST-00056,21.89,2024-11-14,Central
TXN-000062, CUST-00344,59.11,2025-10-03,East
TXN-001519,CUST-00354,38.40,2025-10-28,North
TXN-000422,CUST-00202,22.07,2025-04-19,East
TXN-001455,CUST-00379,83.45,2024-12-27,East
TXN-003876,CUST-00043,235.08,2025-06-28,West
TXN-001214,CUST-00136,39.09,2025-11-08,West
TXN-000529,CUST-00193,40.07,2024-02-17,North
TXN-003750,CUST-00444,81.49,2025-03-13,West
TXN-002586,CUST-00076,310.13,2025-04-26,East
TXN-001094,CUST-00493,423.64,2025-06-07,South
TXN-004789,CUST-00341,75.79,2024-01-24,South
TXN-002163,CUST-00167,318.66,2024-06-17,CENTRAL
TXN-001934,CUST-00139,30.46,2025-02-22,South
TXN-001077,CUST-00138,240.30,2025-12-06,North
TXN-004430,CUST-00224,26.17,2024-03-27,West
TXN-000362,CUST-00433,433.25,2024-06-11,South
TXN-002769,CUST-00328,192.25,2024-12-25,East
TXN-000484,CUST-00448,1404.81,2025-07-01,East
TXN-001158,CUST-00156,165.08,2024-11-27,North
TXN-004780,CUST-00231,1354.34,2024-10-07,East
TXN-000141,CUST-00397,1312.65,2025-10-14,East
TXN-003964,CUST-00063,61.12,2025-05-09,North
TXN-004854,CUST-00500,44.56,2025-03-17,EAST
TXN-002609,CUST-00333,556.66,2025-10-21,
TXN-003385,CUST-00121,61.39,2024-09-10,West
TXN-002508,CUST-00106,97.29,2024-06-01,east
TXN-004659,CUST-00066,335.83,2025-09-14, South
TXN-000220,CUST-00500,317.23,2024-09-27,East
TXN-002907,CUST-00415,936.47,2025-10-24,West
TXN-004225,CUST-00121,535.45,2025-02-07,West
TXN-000956,CUST-00200,530.84,2024-07-09,North
TXN-000444,CUST-00248,230.62,2024-01-03,South
TXN-002181,CUST-00216,242.90,2025-06-24,North
TXN-000400,CUST-00457,532.73,2025-11-04,West
TXN-004877,CUST-00021,43.48,2025-03-12,East
TXN-000741,CUST-00381,51.28,2024-09-20,Central
TXN-002512,CUST-00116,29.87,2024-06-01, East
TXN-002502,CUST-00205,417.32,2025-03-19,Central
TXN-000232,CUST-00226,118.67,2025-10-18,West
TXN-002558,CUST-00467,689.67,2024-10-12,South
TXN-003098,CUST-00390,$1222.26,2024-10-23,South
TXN-003329,CUST-00048,560.07,2024-10-18,East
TXN-004293,CUST-00166,537.71,2025-05-01,North
TXN-001793,CUST-00309,1013.45,2025-06-04,North
TXN-004078,CUST-00278,23.09,2024-09-26,Central 
TXN-001799,CUST-00288,243.28,2025-05-03,North
TXN-002671,CUST-00235,43.67,2025-01-14,North
TXN-001051,CUST-00199,150.47,2025-01-30,Central
TXN-001110,CUST-00320,435.87,2024-08-18,West
TXN-000530,CUST-00314,529.62,2024-07-04,East
TXN-004941,CUST-00470,568.69,2024-05-28,North
TXN-000131,CUST-00282,652.24,2025-08-15,C
TXN-001878,CUST-00259,544.20,2025-12-15,Central
TXN-001186,CUST-00420,,2025-07-06,North
TXN-001059,CUST-00307,221.26,2024-02-04,Central
TXN-004694,CUST-00138,40.16,2025-01-19,North
TXN-002661,CUST-00306,147.58,2025-02-05,Central
TXN-002754,CUST-00036,79.10,2025-03-16,South
TXN-003395,CUST-00040,255.32,2024-03-15,North
TXN-000077,CUST-00456,166.91,2024-01-20,West
TXN-002676,CUST-00312,566.86,2025-04-25,Central
TXN-001555,CUST-00115,17.31,2025-09-22,Central
TXN-003441,CUST-00402,1221.49,2024-11-19,North
TXN-001347,CUST-00085,33.62,2024-08-15,West
TXN-001146,CUST-00286,766.88,2024-07-27,West
TXN-004217,CUST-00473,536.04,2024-10-14,WEST
TXN-000865,CUST-00219,23.86,2024-03-15,West
TXN-004485,CUST-00320,98.74,2024-10-31,West
TXN-001617,CUST-00156,463.05,2024-09-17,North
TXN-003644,CUST-00214,27.47,2024-09-09,South
TXN-004683,CUST-00500,178.69,2025-04-20,East
TXN-003343,CUST-00093,1185.14,2024-03-05,South
TXN-000916,CUST-00481,518.74,2024-03-09,South
TXN-001527,CUST-00364,118.21,2025-12-29,South
TXN-001358,CUST-00324,1202.13,2025-04-16,South
TXN-002389,CUST-00477,89.45,2024-08-24,North
TXN-000584,CUST-00272,16.32,2025-11-10,East
TXN-004552,CUST-00071,191.26,2025-02-16,East
TXN-002770,CUST-00122,221.91,2024-11-07,West
TXN-004061,CUST-00367,223.33,2024-05-15,North
TXN-001919,CUST-00317,84.85,2025-02-14,South
TXN-000382,CUST-00226,37.56,2024-07-28,West
TXN-002175,CUST-00184,29.74,2025-04-08,South
TXN-001788,CUST-00365,34.57,2024-08-29,West
TXN-001985,CUST-00184,74.95,2025-09-27,South
TXN-003147,CUST-00448,224.45,2025-11-17,East
TXN-001535,CUST-00116,35.79,2024-07-28,East
TXN-002855,CUST-00081,78.23,2025-06-27,North
TXN-000398,CUST-00272,90.40,2024-09-14,East
TXN-004254,CUST-00143,784.89,2024-10-01,North
TXN-003029,CUST-00452,52.91,2025-09-14,East
TXN-000148,CUST-00159,258.23,2024-04-04,North
TXN-000344,CUST-00445,46.88,2025-02-04,South
TXN-002764,CUST-00022,35.40,2024-08-25,South
TXN-003633,CUST-00272,104.83,2024-09-22,East
TXN-003131,CUST-00324,1260.38,2024-02-02,South
TXN-004191,CUST-00038,744.33,2024-03-14,South
TXN-000414,CUST-00214,-25.98,2025-06-23,South
TXN-000500,CUST-00100,1259.99,2024-10-02,North
TXN-003164,CUST-00328,167.14,2025-05-10,East
TXN-003778,CUST-00178,29.97,2025-07-14,West
TXN-002048,CUST-00035,314.29,2025-12-08,South
TXN-001376,CUST-00492,76.76,2025-06-01,Central
TXN-002210,CUST-00483,212.49,2024-06-16,South
TXN-001792,CUST-00440,742.08,2025-05-06,South
TXN-001318,CUST-00295,38.11,2024-12-11,Central
TXN-001597,CUST-00126,48.39,2025-07-08,Central
TXN-001250,CUST-00414,217.53,2025-08-22,North
TXN-004812,CUST-00276,198.27,2025-11-12,West
TXN-002767,CUST-00410,80.14,2024-06-06,Central
TXN-001021,CUST-00250,67.69,2024-11-14,east
TXN-004128,CUST-00359,78.96,2025-03-04,West
TXN-000929,CUST-00414,617.43,2024-08-16,North
TXN-003051,CUST-00324,127.35,2025-01-24,South
TXN-000315,CUST-00431,191.64,2024-09-02,North
TXN-001873,CUST-00414,,2025-03-01,North
TXN-002350,CUST-00082,309.70,2025-08-18,East
TXN-000951,CUST-00159,583.13,2025-03-27,North
TXN-000832,CUST-00460,293.46,2025-02-18,South
TXN-002320,CUST-00044,225.67,2025-07-03,East
TXN-004681,CUST-00420,382.41,2025-02-06,north
TXN-002137,CUST-00481,35.38,2024-02-13,South
TXN-003064,CUST-00085,308.02,2025-12-22,West
TXN-002949,CUST-00079,566.12,2024-04-18,South
TXN-000879,CUST-00043,459.64,2024-05-30,West
TXN-003566,CUST-00118,50.48,2025-12-12,North
TXN-004259,CUST-00360,$147.07,2024-10-25,South
TXN-002746,CUST-00066,101.31,2025-02-19,South
TXN-004335,CUST-00324,104.53,2024-09-08,South
TXN-002750,CUST-00418,78.57,2024-05-29,East
TXN-004457,CUST-00408,1385.95,2024-12-19,South
TXN-004614,CUST-00134,225.97,2024-01-05,East
TXN-002796,CUST-00300,57.41,2025-07-14,West
TXN-004908,CUST-00410,243.38,2025-02-28,Central
TXN-004001,CUST-00329,315.92,2025-08-02,South
TXN-000309,CUST-00058,90.34,2024-06-07,North
TXN-001287,CUST-00444,54.12,2025-01-30,West
TXN-000657,CUST-00420,78.58,2024-08-12,North
TXN-000894,CUST-00411,26.28,2024-06-04,Central
TXN-004506,CUST-00147,166.89,2025-04-06,South
TXN-003753,CUST-00351,99.57,2024-02-29,Central
TXN-004164,CUST-00100,813.51,2025-05-29,South
TXN-000011,CUST-00121,73.54,2025-10-28,West
TXN-001168,CUST-00500,562.36,2025-04-24,East
TXN-002249,CUST-00028,162.27,2024-04-13,East
TXN-002076,CUST-00238,102.40,2024-11-21,East
TXN-001625,CUST-00121,228.68,2024-07-04,WEST
TXN-004576,CUST-00455,31.50,2025-07-14,South
TXN-001611,CUST-00184,1157.88,2024-11-13,South
TXN-004603,CUST-00175,155.94,2024-01-31,East
TXN-000194,CUST-00365,126.11,2025-02-22, West
TXN-003997,CUST-00040,243.90,2024-10-16,North
TXN-004929,CUST-00085,91.22,2025-08-15,West
TXN-002387,CUST-00299,606.10,2024-11-19,West
TXN-001608,CUST-00457,1256.83,2024-05-05,West
TXN-001290,CUST-00103,320.90,2025-01-11,West
TXN-002986,CUST-00356,40.76,2024-06-26,West
TXN-000651,CUST-00007,$1066.86,2025-11-19,Central
TXN-000985,CUST-00358,513.30,2024-02-10,South
TXN-000031,CUST-00110,890.21,2024-08-02,SOUTH
TXN-001674,CUST-00098,138.39,2024-10-27,E
TXN-003862,CUST-00126,1400.35,2025-02-01,Central
TXN-000288,CUST-00054,308.13,2025-02-10,South
TXN-000586,CUST-00115,75.68,2025-01-12,Central
TXN-003220,CUST-64,622.61,2024-05-29,West
TXN-003914,CUST-00315,35.77 USD,2025-08-16,South
TXN-004725,CUST-00453,53.51,2025-02-22,West
TXN-000386,CUST-00282,54.47,2025-01-23,Central
TXN-003111,CUST-00141,675.06,2024-03-06,East
TXN-004884,CUST-00276,15.77,2025-07-01,South
TXN-000187,CUST-00013,132.20,2024-06-13,N
TXN-003822,CUST-00438,421.86,2024-10-21,North
TXN-004363,CUST-00024,250.59,2025-03-01,East
TXN-004895,CUST-00313,57.81,2025-06-14,central
TXN-001646,CUST-00418,101.03,2024-04-16,Central
TXN-002602,CUST-00254,854.21,2025-06-24,Central
TXN-003195,CUST-00457,105.49,2024-06-03,West
TXN-003127,CUST-00420,536.34,2025-01-08,North
TXN-000005,CUST-304,1246.91,2024-06-24,North
TXN-001586,CUST-00261,519.14,2024-03-14,East
TXN-000641,CUST-00464,1138.57,2025-04-22,South
TXN-002108,CUST-00260,812.12,2024-07-14,East
TXN-003854,CUST-00020,17.77,2025-09-07,West 
TXN-002237,CUST-00311,106.56,2025-10-23,South
TXN-004728,CUST-00162,253.93,2025-11-09,West
TXN-003959,CUST-00375,15.53,2025-11-08,North
TXN-004463,CUST-00367,81.11,2024-09-07,North
TXN-004355,CUST-00288,46.63,2024-03-10,North
TXN-001057,CUST-00088,182.71,2025-10-29,West
TXN-001386,CUST-00006,70.06,2024-05-20,East
TXN-004301,CUST-00385,16.80,2025-10-24,West
TXN-004250,CUST-00496,1403.41,2024-08-12,East
TXN-001590,CUST-00061,57.20,2025-10-21,North
TXN-001645,CUST-00339,40.56,2025-03-26,West
TXN-000196,CUST-00116,151.74,2024-02-29,North
TXN-003770,CUST-00232,43.00,2024-04-02,Central
TXN-002797,CUST-00416,220.72,2025-04-04,South
TXN-000230,CUST-00391,1194.10,2025-11-19,Central
TXN-001147,CUST-00027,171.98,2025-04-18,East
TXN-001626,CUST-00274,116.27,2025-06-05,North
TXN-000580,CUST-00250,,2024-12-23,East
